simulation_id,event_type,table_id,value,timestamp
1,request,,1,
1,wait_time,T6,14.047999999999998,
1,delivery_time,T6,14.015999999999998,
1,completion,,1,
1,return_time,T6,16.479999999999997,
1,request,,2,
1,wait_time,T2,4.896000000000001,
1,delivery_time,T2,4.704000000000001,
1,completion,,2,
1,return_time,T2,4.799999999999997,
2,request,,1,
3,request,,1,
3,wait_time,T3,37.856,
3,delivery_time,T3,37.824000000000005,
3,completion,,1,
3,return_time,T3,45.92,
3,request,,2,
3,wait_time,T2,37.312000000000005,
3,delivery_time,T2,6.688000000000002,
3,completion,,2,
3,return_time,T2,4.0,
3,request,,3,
3,wait_time,T1,32.992000000000004,
3,delivery_time,T1,21.98400000000001,
3,completion,,3,
3,return_time,T1,16.86400000000002,
3,request,,4,
4,request,,1,
4,wait_time,T4,4.160000000000001,
4,delivery_time,T4,4.128000000000001,
4,completion,,1,
5,request,,1,
6,request,,1,
6,wait_time,T1,7.168,
6,delivery_time,T1,7.136,
6,completion,,1,
6,return_time,T1,7.936000000000002,
6,request,,2,
6,wait_time,T5,7.263999999999999,
6,delivery_time,T5,7.231999999999999,
6,completion,,2,
6,return_time,T5,9.759999999999998,
6,request,,3,
6,wait_time,T1,7.200000000000003,
6,delivery_time,T1,7.167999999999992,
6,completion,,3,
6,return_time,T1,7.039999999999992,
6,request,,4,
7,request,,1,
7,wait_time,T6,14.047999999999998,
7,delivery_time,T6,14.015999999999998,
7,completion,,1,
7,return_time,T6,15.872,
8,request,,1,
8,wait_time,T2,4.064000000000001,
8,delivery_time,T2,4.032000000000001,
8,completion,,1,
8,return_time,T2,4.064,
8,request,,2,
8,wait_time,T2,3.6799999999999997,
8,delivery_time,T2,3.647999999999996,
8,completion,,2,
8,return_time,T2,5.503999999999998,
9,request,,1,
9,wait_time,T1,7.168,
9,delivery_time,T1,7.136,
9,completion,,1,
9,return_time,T1,7.936000000000002,
10,request,,1,
10,wait_time,T1,7.168,
10,delivery_time,T1,7.136,
10,completion,,1,
10,return_time,T1,7.936000000000002,
11,request,,1,
11,wait_time,T4,4.160000000000001,
11,delivery_time,T4,4.128000000000001,
11,completion,,1,
12,request,,1,
13,request,,1,
13,wait_time,T1,7.168,
13,delivery_time,T1,7.136,
13,completion,,1,
13,return_time,T1,7.936000000000002,
13,request,,2,
13,wait_time,T6,17.120000000000005,
13,delivery_time,T6,17.088,
13,completion,,2,
13,return_time,T6,22.528,
13,request,,3,
14,request,,1,
14,wait_time,T2,4.064000000000001,
14,delivery_time,T2,4.032000000000001,
14,completion,,1,
14,return_time,T2,4.064,
14,request,,2,
15,request,,1,
15,wait_time,T6,14.047999999999998,
15,delivery_time,T6,14.015999999999998,
15,completion,,1,
15,return_time,T6,16.479999999999997,
15,request,,2,
16,request,,1,
16,wait_time,T6,14.047999999999998,
16,delivery_time,T6,14.015999999999998,
16,completion,,1,
16,return_time,T6,15.872,
16,request,,2,
17,request,,1,
17,wait_time,T5,7.6160000000000005,
17,delivery_time,T5,7.5840000000000005,
17,completion,,1,
17,return_time,T5,8.127999999999998,
18,request,,1,
18,wait_time,T2,4.064000000000001,
18,delivery_time,T2,4.032000000000001,
18,completion,,1,
18,return_time,T2,4.064,
19,request,,1,
19,wait_time,T2,4.064000000000001,
19,delivery_time,T2,4.032000000000001,
19,completion,,1,
19,return_time,T2,4.064,
23,request,,1,
24,request,,1,
25,request,,1,
26,request,,1,
27,request,,1,
28,request,,1,
29,request,,1,
30,request,,1,
31,request,,1,
31,wait_time,T4,4.160000000000001,
31,delivery_time,T4,4.128000000000001,
31,completion,,1,
32,request,,1,
33,request,,1,
34,request,,1,
34,wait_time,T6,14.047999999999998,
34,delivery_time,T6,14.015999999999998,
34,completion,,1,
35,request,,1,
36,request,,1,
36,wait_time,T4,4.160000000000001,
36,delivery_time,T4,4.128000000000001,
36,completion,,1,
37,request,,1,
37,wait_time,T5,7.6160000000000005,
37,delivery_time,T5,7.5840000000000005,
37,completion,,1,
37,return_time,T5,8.127999999999998,
37,request,,2,
38,request,,1,
38,wait_time,T4,4.160000000000001,
38,delivery_time,T4,4.128000000000001,
38,completion,,1,
39,request,,1,
39,wait_time,T5,7.6160000000000005,
39,delivery_time,T5,7.5840000000000005,
39,completion,,1,
39,return_time,T5,8.127999999999998,
39,request,,2,
39,wait_time,T4,5.631999999999998,
39,delivery_time,T4,5.600000000000001,
39,completion,,2,
47,request,,1,
48,request,,1,
48,wait_time,T6,14.047999999999998,
48,delivery_time,T6,14.015999999999998,
48,completion,,1,
48,return_time,T6,16.479999999999997,
48,request,,2,
50,request,,1,
51,request,,1,
52,request,,1,
53,request,,1,
55,request,,1,
56,request,,1,
56,wait_time,T1,10.943999999999999,
56,delivery_time,T1,10.911999999999999,
56,completion,,1,
57,request,,1,
58,request,,1,
59,request,,1,
60,request,,1,
61,request,,1,
62,request,,1,
62,wait_time,T1,4.064000000000001,
62,delivery_time,T1,4.032000000000001,
62,completion,,1,
62,return_time,T1,4.032,
62,request,,2,
62,wait_time,T2,4.160000000000004,
62,delivery_time,T2,4.128,
62,completion,,2,
62,return_time,T2,4.448,
62,request,,3,
63,request,,1,
